
> dev
> vite


  VITE v5.2.11  ready in 88 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://192.168.32.4:5173/

  LARAVEL v11.14.0  plugin v1.0.2

  ➜  APP_URL: http://localhost
12:07:10 AM [vite] page reload resources/views/components/story.blade.php
12:07:13 AM [vite] page reload resources/views/components/story.blade.php
12:07:13 AM [vite] page reload resources/views/components/story.blade.php
12:07:15 AM [vite] page reload resources/views/components/story.blade.php
12:07:15 AM [vite] page reload resources/views/components/story.blade.php
12:07:20 AM [vite] page reload resources/views/components/story.blade.php
12:07:20 AM [vite] page reload resources/views/components/story.blade.php
12:10:26 AM [vite] page reload resources/views/components/layout.blade.php
12:10:26 AM [vite] page reload resources/views/components/layout.blade.php
12:10:36 AM [vite] page reload resources/views/components/layout.blade.php
12:10:36 AM [vite] page reload resources/views/components/layout.blade.php
12:10:44 AM [vite] page reload resources/views/components/layout.blade.php
12:10:44 AM [vite] page reload resources/views/components/layout.blade.php
12:11:49 AM [vite] page reload resources/views/components/header/logo.blade.php
12:11:49 AM [vite] page reload resources/views/components/header/logo.blade.php
12:12:16 AM [vite] page reload resources/views/components/header/logo.blade.php
12:12:16 AM [vite] page reload resources/views/components/header/logo.blade.php
12:13:05 AM [vite] page reload resources/views/components/story.blade.php
12:13:05 AM [vite] page reload resources/views/components/story.blade.php
12:13:17 AM [vite] page reload resources/views/components/story.blade.php
12:13:17 AM [vite] page reload resources/views/components/story.blade.php
12:13:33 AM [vite] page reload resources/views/components/story.blade.php
12:13:33 AM [vite] page reload resources/views/components/story.blade.php
12:13:35 AM [vite] page reload resources/views/components/story.blade.php
12:13:35 AM [vite] page reload resources/views/components/story.blade.php
12:13:52 AM [vite] page reload resources/views/components/story.blade.php
12:13:52 AM [vite] page reload resources/views/components/story.blade.php
12:14:51 AM [vite] page reload resources/views/components/story.blade.php
12:14:51 AM [vite] page reload resources/views/components/story.blade.php
12:15:12 AM [vite] page reload resources/views/components/story.blade.php
12:15:12 AM [vite] page reload resources/views/components/story.blade.php
12:15:41 AM [vite] page reload resources/views/components/story.blade.php
12:15:41 AM [vite] page reload resources/views/components/story.blade.php
12:17:02 AM [vite] page reload resources/views/components/story.blade.php
12:17:02 AM [vite] page reload resources/views/components/story.blade.php
12:17:07 AM [vite] page reload resources/views/components/story.blade.php
12:17:07 AM [vite] page reload resources/views/components/story.blade.php
12:17:30 AM [vite] page reload resources/views/components/story.blade.php
12:17:30 AM [vite] page reload resources/views/components/story.blade.php
12:17:32 AM [vite] page reload resources/views/components/story.blade.php
